,fullname,team,birthdate,country,height,weight,rider_url,pps,rdr
222,ARMIRAIL Bruno,Groupama - FDJ,1994-04-11,France,1.9,74.0,https://www.procyclingstats.com/rider/bruno-armirail,"{'One day races': '79', 'GC': '250', 'Time trial': '467', 'Sprint': '8', 'Climber': '160'}","{'PCS Ranking': '304', 'UCI World Ranking': '313'}"
223,GENIETS Kevin,Groupama - FDJ,1997-01-09,Luxembourg,1.93,73.0,https://www.procyclingstats.com/rider/kevin-geniets,"{'One day races': '250', 'GC': '111', 'Time trial': '172', 'Sprint': '70', 'Climber': '93'}","{'PCS Ranking': '293', 'UCI World Ranking': '227'}"
224,SEIGLE Romain,Groupama - FDJ,1994-10-11,France,1.69,63.0,https://www.procyclingstats.com/rider/romain-seigle,"{'One day races': '120', 'GC': '186', 'Time trial': '144', 'Sprint': '73', 'Climber': '64'}","{'PCS Ranking': '479', 'UCI World Ranking': '1036'}"
225,LOUVEL Matis,Team Arkéa Samsic,1999-07-19,France,1.87,73.0,https://www.procyclingstats.com/rider/matis-louvel,"{'One day races': '196', 'GC': '45', 'Time trial': '65', 'Sprint': '44', 'Climber': '24'}","{'PCS Ranking': '238', 'UCI World Ranking': '225'}"
226,BRUNEL Alexys,Groupama - FDJ,1998-10-10,France,1.9,70.0,https://www.procyclingstats.com/rider/alexys-brunel,"{'One day races': '46', 'GC': '66', 'Time trial': '185', 'Sprint': '50', 'Climber': '4'}","{'PCS Ranking': '820', 'UCI World Ranking': '870'}"
227,VINCENT Léo,noteam,1995-11-06,France,1.77,62.0,https://www.procyclingstats.com/rider/leo-vincent,"{'One day races': '25', 'GC': '120', 'Time trial': '51', 'Sprint': '26', 'Climber': '60'}",{}
228,JERMAN Žiga,Androni Giocattoli - Sidermec,1998-06-26,Slovenia,1.78,67.0,https://www.procyclingstats.com/rider/ziga-jerman,"{'One day races': '66', 'GC': '20', 'Time trial': '13', 'Sprint': '302', 'Climber': '2'}","{'PCS Ranking': '932', 'UCI World Ranking': '1092'}"
229,WELLENS Tim,Lotto Soudal,1991-05-10,Belgium,1.82,71.0,https://www.procyclingstats.com/rider/tim-wellens,"{'One day races': '2902', 'GC': '3204', 'Time trial': '928', 'Sprint': '807', 'Climber': '2528'}","{'PCS Ranking': '66', 'UCI World Ranking': '66', 'Specials | All Time Ranking': '200'}"
230,MONFORT Maxime,noteam,1983-01-14,Belgium,1.81,66.0,https://www.procyclingstats.com/rider/maxime-monfort,"{'One day races': '675', 'GC': '4632', 'Time trial': '2486', 'Sprint': '758', 'Climber': '2020'}",{'Specials | All Time Ranking': '1272'}
231,EWAN Caleb,Lotto Soudal,1994-07-11,Australia,1.67,69.0,https://www.procyclingstats.com/rider/caleb-ewan,"{'One day races': '1767', 'GC': '229', 'Time trial': '148', 'Sprint': '5508', 'Climber': '474'}","{'PCS Ranking': '78', 'UCI World Ranking': '73', 'Specials | All Time Ranking': '184'}"
232,BENOOT Tiesj,Team DSM,1994-03-11,Belgium,1.9,72.0,https://www.procyclingstats.com/rider/tiesj-benoot,"{'One day races': '3127', 'GC': '1730', 'Time trial': '83', 'Sprint': '1216', 'Climber': '2400'}","{'PCS Ranking': '85', 'UCI World Ranking': '71', 'Specials | All Time Ranking': '942'}"
233,KEUKELEIRE Jens,EF Education - Nippo,1988-11-23,Belgium,1.85,69.0,https://www.procyclingstats.com/rider/jens-keukeleire,"{'One day races': '1937', 'GC': '1108', 'Time trial': '163', 'Sprint': '1922', 'Climber': '526'}","{'PCS Ranking': '670', 'UCI World Ranking': '1558', 'Specials | All Time Ranking': '962'}"
234,DE GENDT Thomas,Lotto Soudal,1986-11-06,Belgium,1.79,73.0,https://www.procyclingstats.com/rider/thomas-de-gendt,"{'One day races': '237', 'GC': '1193', 'Time trial': '2195', 'Sprint': '792', 'Climber': '1745'}","{'PCS Ranking': '481', 'UCI World Ranking': '931', 'Specials | All Time Ranking': '857'}"
235,VANENDERT Jelle,Bingoal Pauwels Sauces WB,1985-02-19,Belgium,1.84,62.0,https://www.procyclingstats.com/rider/jelle-vanendert,"{'One day races': '2196', 'GC': '785', 'Time trial': '21', 'Sprint': '714', 'Climber': '1830'}","{'PCS Ranking': '1033', 'UCI World Ranking': '1440', 'Specials | All Time Ranking': '1766'}"
236,CAMPENAERTS Victor,Team Qhubeka NextHash,1991-10-28,Belgium,1.73,68.0,https://www.procyclingstats.com/rider/victor-campenaerts,"{'One day races': '233', 'GC': '756', 'Time trial': '2976', 'Sprint': '242', 'Climber': '315'}","{'PCS Ranking': '136', 'UCI World Ranking': '115', 'Specials | All Time Ranking': '1372'}"
237,VAN DER SANDE Tosh,Lotto Soudal,1990-11-28,Belgium,1.78,67.0,https://www.procyclingstats.com/rider/tosh-van-der-sande,"{'One day races': '799', 'GC': '679', 'Time trial': '1', 'Sprint': '1530', 'Climber': '824'}","{'PCS Ranking': '100', 'UCI World Ranking': '74'}"
238,WALLAYS Jelle,"Cofidis, Solutions Crédits",1989-05-11,Belgium,1.85,77.0,https://www.procyclingstats.com/rider/jelle-wallays,"{'One day races': '1126', 'GC': '574', 'Time trial': '150', 'Sprint': '1029', 'Climber': '104'}","{'PCS Ranking': '630', 'UCI World Ranking': '1293', 'Specials | All Time Ranking': '1366'}"
239,BLYTHE Adam,noteam,1989-10-01,Great Britain,1.75,68.0,https://www.procyclingstats.com/rider/adam-blythe,"{'One day races': '1078', 'GC': '429', 'Time trial': '16', 'Sprint': '2004', 'Climber': '36'}",{'Specials | All Time Ranking': '1324'}
240,DE BUYST Jasper,Lotto Soudal,1993-11-24,Belgium,1.78,71.0,https://www.procyclingstats.com/rider/jasper-de-buyst,"{'One day races': '1081', 'GC': '529', 'Time trial': '118', 'Sprint': '1275', 'Climber': '180'}","{'PCS Ranking': '428', 'UCI World Ranking': '550', 'Specials | All Time Ranking': '1786'}"
241,HANSEN Adam,noteam,1981-05-11,Australia,1.86,75.0,https://www.procyclingstats.com/rider/adam-hansen,"{'One day races': '281', 'GC': '1207', 'Time trial': '287', 'Sprint': '414', 'Climber': '384'}",{}
242,MARCZYŃSKI Tomasz,Lotto Soudal,1984-03-06,Poland,1.8,70.0,https://www.procyclingstats.com/rider/tomasz-marczynski,"{'One day races': '446', 'GC': '1088', 'Time trial': '138', 'Sprint': '468', 'Climber': '625'}",{'PCS Ranking': '866'}
243,MAES Nikolas,noteam,1986-04-09,Belgium,1.9,78.0,https://www.procyclingstats.com/rider/nikolas-maes,"{'One day races': '1006', 'GC': '505', 'Time trial': '112', 'Sprint': '1518', 'Climber': '90'}",{}
244,ARMÉE Sander,Team Qhubeka NextHash,1985-12-10,Belgium,1.89,72.0,https://www.procyclingstats.com/rider/sander-armee,"{'One day races': '274', 'GC': '936', 'Time trial': '24', 'Sprint': '454', 'Climber': '432'}","{'PCS Ranking': '825', 'UCI World Ranking': '1574'}"
245,KLUGE Roger,Lotto Soudal,1986-02-05,Germany,1.92,83.0,https://www.procyclingstats.com/rider/roger-kluge,"{'One day races': '422', 'GC': '391', 'Time trial': '484', 'Sprint': '1423', 'Climber': '78'}","{'PCS Ranking': '900', 'UCI World Ranking': '3163'}"
246,LAMBRECHT Bjorg,noteam,1997-04-02,Belgium,1.69,56.0,https://www.procyclingstats.com/rider/bjorg-lambrecht,"{'One day races': '380', 'GC': '430', 'Time trial': '31', 'Sprint': '168', 'Climber': '552'}",{}
247,HAGEN Carl Fredrik,Israel Start-Up Nation,1991-09-26,Norway,1.8,65.0,https://www.procyclingstats.com/rider/carl-fredrik-hagen,"{'One day races': '118', 'GC': '728', 'Time trial': '1', 'Sprint': '251', 'Climber': '387'}","{'PCS Ranking': '1272', 'UCI World Ranking': '1644'}"
248,DEWULF Stan,AG2R Citroën Team,1997-12-20,Belgium,1.76,74.0,https://www.procyclingstats.com/rider/stan-dewulf,"{'One day races': '419', 'GC': '273', 'Time trial': '65', 'Sprint': '354', 'Climber': '168'}","{'PCS Ranking': '132', 'UCI World Ranking': '118'}"
249,NAESEN Lawrence,AG2R Citroën Team,1992-08-28,Belgium,1.9,72.0,https://www.procyclingstats.com/rider/lawrence-naesen,"{'One day races': '515', 'GC': '62', 'Time trial': '0', 'Sprint': '422', 'Climber': '130'}","{'PCS Ranking': '389', 'UCI World Ranking': '516'}"
250,VANHOUCKE Harm,Lotto Soudal,1997-06-17,Belgium,1.77,65.0,https://www.procyclingstats.com/rider/harm-vanhoucke,"{'One day races': '76', 'GC': '381', 'Time trial': '25', 'Sprint': '57', 'Climber': '516'}","{'PCS Ranking': '181', 'UCI World Ranking': '281'}"
251,MERTZ Rémy,Bingoal Pauwels Sauces WB,1995-07-17,Belgium,1.75,70.0,https://www.procyclingstats.com/rider/remy-mertz,"{'One day races': '173', 'GC': '135', 'Time trial': '7', 'Sprint': '76', 'Climber': '90'}","{'PCS Ranking': '415', 'UCI World Ranking': '453'}"
252,VAN MOER Brent,Lotto Soudal,1998-01-12,Belgium,1.91,79.0,https://www.procyclingstats.com/rider/brent-van-moer,"{'One day races': '78', 'GC': '116', 'Time trial': '137', 'Sprint': '131', 'Climber': '91'}","{'PCS Ranking': '305', 'UCI World Ranking': '508'}"
253,THIJSSEN Gerben,Lotto Soudal,1998-06-21,Belgium,1.74,75.0,https://www.procyclingstats.com/rider/gerben-thijssen,"{'One day races': '220', 'GC': '21', 'Time trial': '21', 'Sprint': '420', 'Climber': '0'}","{'PCS Ranking': '335', 'UCI World Ranking': '386'}"
254,VAN GOETHEM Brian,noteam,1991-04-16,Netherlands,1.86,77.0,https://www.procyclingstats.com/rider/brian-van-goethem,"{'One day races': '211', 'GC': '48', 'Time trial': '167', 'Sprint': '245', 'Climber': '1'}",{}
255,FRISON Frederik,Lotto Soudal,1992-07-28,Belgium,1.94,84.0,https://www.procyclingstats.com/rider/frederik-frison,"{'One day races': '215', 'GC': '64', 'Time trial': '229', 'Sprint': '158', 'Climber': '2'}","{'PCS Ranking': '824', 'UCI World Ranking': '1439'}"
256,WOUTERS Enzo,Tarteletto - Isorex,1996-03-21,Belgium,1.83,75.0,https://www.procyclingstats.com/rider/enzo-wouters,"{'One day races': '105', 'GC': '9', 'Time trial': '0', 'Sprint': '330', 'Climber': '0'}","{'PCS Ranking': '2072', 'UCI World Ranking': '1919'}"
257,IVERSEN Rasmus,noteam,1997-09-16,Denmark,1.9,77.0,https://www.procyclingstats.com/rider/rasmus-byriel-iversen,"{'One day races': '80', 'GC': '15', 'Time trial': '6', 'Sprint': '8', 'Climber': '0'}",{}
258,YATES Adam,INEOS Grenadiers,1992-08-07,Great Britain,1.73,58.0,https://www.procyclingstats.com/rider/adam-yates,"{'One day races': '1662', 'GC': '3965', 'Time trial': '598', 'Sprint': '193', 'Climber': '4644'}","{'PCS Ranking': '10', 'UCI World Ranking': '8', 'Specials | All Time Ranking': '323'}"
259,ALBASINI Michael,noteam,1980-12-20,Switzerland,1.72,65.0,https://www.procyclingstats.com/rider/michael-albasini,"{'One day races': '2949', 'GC': '2026', 'Time trial': '401', 'Sprint': '2582', 'Climber': '1797'}",{'Specials | All Time Ranking': '295'}
260,TRENTIN Matteo,UAE-Team Emirates,1989-08-02,Italy,1.79,74.0,https://www.procyclingstats.com/rider/matteo-trentin,"{'One day races': '3887', 'GC': '488', 'Time trial': '250', 'Sprint': '3866', 'Climber': '1426'}","{'PCS Ranking': '31', 'UCI World Ranking': '24', 'Specials | All Time Ranking': '337'}"
261,YATES Simon,Team BikeExchange,1992-08-07,Great Britain,1.72,58.0,https://www.procyclingstats.com/rider/simon-yates,"{'One day races': '601', 'GC': '3859', 'Time trial': '703', 'Sprint': '219', 'Climber': '4250'}","{'PCS Ranking': '32', 'UCI World Ranking': '36', 'Specials | All Time Ranking': '287'}"
262,NIEVE Mikel,Team BikeExchange,1984-05-26,Spain,1.73,62.0,https://www.procyclingstats.com/rider/mikel-nieve,"{'One day races': '785', 'GC': '3575', 'Time trial': '31', 'Sprint': '131', 'Climber': '4287'}","{'PCS Ranking': '425', 'UCI World Ranking': '580', 'Specials | All Time Ranking': '1376'}"
263,IMPEY Daryl,Israel Start-Up Nation,1984-12-06,South Africa,1.81,70.0,https://www.procyclingstats.com/rider/daryl-impey,"{'One day races': '1445', 'GC': '1821', 'Time trial': '997', 'Sprint': '2337', 'Climber': '1594'}","{'PCS Ranking': '283', 'UCI World Ranking': '316', 'Specials | All Time Ranking': '461'}"
264,CHAVES Esteban,Team BikeExchange,1990-01-17,Colombia,1.64,55.0,https://www.procyclingstats.com/rider/johan-esteban-chaves,"{'One day races': '962', 'GC': '2829', 'Time trial': '200', 'Sprint': '312', 'Climber': '3555'}","{'PCS Ranking': '54', 'UCI World Ranking': '93', 'Specials | All Time Ranking': '509'}"
265,MEZGEC Luka,Team BikeExchange,1988-06-27,Slovenia,1.83,72.0,https://www.procyclingstats.com/rider/luka-mezgec,"{'One day races': '1257', 'GC': '454', 'Time trial': '33', 'Sprint': '3710', 'Climber': '331'}","{'PCS Ranking': '260', 'UCI World Ranking': '464', 'Specials | All Time Ranking': '765'}"
266,HAYMAN Mathew,noteam,1978-04-20,Australia,1.9,78.0,https://www.procyclingstats.com/rider/mathew-hayman,"{'One day races': '2190', 'GC': '863', 'Time trial': '152', 'Sprint': '1845', 'Climber': '89'}",{'Specials | All Time Ranking': '1437'}
267,DURBRIDGE Luke,Team BikeExchange,1991-04-09,Australia,1.87,78.0,https://www.procyclingstats.com/rider/luke-durbridge,"{'One day races': '728', 'GC': '1173', 'Time trial': '2073', 'Sprint': '337', 'Climber': '148'}","{'PCS Ranking': '232', 'UCI World Ranking': '259', 'Specials | All Time Ranking': '937'}"
268,HAIG Jack,Bahrain - Victorious,1993-09-06,Australia,1.9,67.0,https://www.procyclingstats.com/rider/jack-haig,"{'One day races': '547', 'GC': '1975', 'Time trial': '263', 'Sprint': '210', 'Climber': '1891'}","{'PCS Ranking': '51', 'UCI World Ranking': '43', 'Specials | All Time Ranking': '1706'}"
269,BOOKWALTER Brent,Team BikeExchange,1984-02-16,United States,1.8,70.0,https://www.procyclingstats.com/rider/brent-bookwalter,"{'One day races': '466', 'GC': '1574', 'Time trial': '1163', 'Sprint': '730', 'Climber': '913'}","{'PCS Ranking': '731', 'UCI World Ranking': '677', 'Specials | All Time Ranking': '1600'}"
270,MEYER Cameron,Team BikeExchange,1988-01-11,Australia,1.81,70.0,https://www.procyclingstats.com/rider/cameron-meyer,"{'One day races': '297', 'GC': '1214', 'Time trial': '1221', 'Sprint': '511', 'Climber': '500'}","{'PCS Ranking': '775', 'UCI World Ranking': '565', 'Specials | All Time Ranking': '1142'}"
271,JUUL-JENSEN Christopher,Team BikeExchange,1989-07-06,Denmark,1.83,73.0,https://www.procyclingstats.com/rider/christopher-juul-jensen,"{'One day races': '647', 'GC': '980', 'Time trial': '357', 'Sprint': '196', 'Climber': '268'}","{'PCS Ranking': '457', 'UCI World Ranking': '2058'}"
272,SMITH Dion,Team BikeExchange,1993-03-03,New Zealand,1.79,67.0,https://www.procyclingstats.com/rider/dion-smith,"{'One day races': '829', 'GC': '704', 'Time trial': '70', 'Sprint': '1093', 'Climber': '747'}","{'PCS Ranking': '336', 'UCI World Ranking': '569'}"
273,BAUER Jack,Team BikeExchange,1985-04-07,New Zealand,1.91,74.0,https://www.procyclingstats.com/rider/jack-bauer,"{'One day races': '624', 'GC': '703', 'Time trial': '741', 'Sprint': '434', 'Climber': '196'}","{'PCS Ranking': '593', 'UCI World Ranking': '828'}"
274,HOWSON Damien,Team BikeExchange,1992-08-13,Australia,1.88,68.0,https://www.procyclingstats.com/rider/damien-howson,"{'One day races': '115', 'GC': '1086', 'Time trial': '639', 'Sprint': '126', 'Climber': '402'}","{'PCS Ranking': '273', 'UCI World Ranking': '354', 'Specials | All Time Ranking': '1762'}"
275,HAMILTON Lucas,Team BikeExchange,1996-02-12,Australia,1.84,71.0,https://www.procyclingstats.com/rider/lucas-hamilton,"{'One day races': '209', 'GC': '867', 'Time trial': '71', 'Sprint': '257', 'Climber': '773'}","{'PCS Ranking': '131', 'UCI World Ranking': '129'}"
276,GRMAY Tsgabu,Team BikeExchange,1991-08-25,Ethiopia,1.75,63.0,https://www.procyclingstats.com/rider/tsgabu-gebremaryam-grmay,"{'One day races': '182', 'GC': '764', 'Time trial': '425', 'Sprint': '132', 'Climber': '329'}","{'PCS Ranking': '506', 'UCI World Ranking': '381'}"
277,HEPBURN Michael,Team BikeExchange,1991-08-17,Australia,1.86,77.0,https://www.procyclingstats.com/rider/michael-hepburn,"{'One day races': '166', 'GC': '260', 'Time trial': '1294', 'Sprint': '101', 'Climber': '25'}","{'PCS Ranking': '773', 'UCI World Ranking': '3342'}"
278,SCHULTZ Nick,Team BikeExchange,1994-09-13,Australia,1.8,68.0,https://www.procyclingstats.com/rider/nick-schultz,"{'One day races': '172', 'GC': '510', 'Time trial': '34', 'Sprint': '199', 'Climber': '528'}","{'PCS Ranking': '202', 'UCI World Ranking': '255'}"
279,STANNARD Robert,Team BikeExchange,1998-09-16,Australia,1.79,68.0,https://www.procyclingstats.com/rider/robert-stannard,"{'One day races': '430', 'GC': '153', 'Time trial': '66', 'Sprint': '462', 'Climber': '271'}","{'PCS Ranking': '289', 'UCI World Ranking': '400'}"
280,AFFINI Edoardo,Team Jumbo-Visma,1996-06-24,Italy,1.92,80.0,https://www.procyclingstats.com/rider/edoardo-affini,"{'One day races': '55', 'GC': '140', 'Time trial': '1067', 'Sprint': '136', 'Climber': '7'}","{'PCS Ranking': '180', 'UCI World Ranking': '203'}"
281,EDMONDSON Alex,Team BikeExchange,1993-12-22,Australia,1.84,75.0,https://www.procyclingstats.com/rider/alexander-edmondson,"{'One day races': '135', 'GC': '110', 'Time trial': '377', 'Sprint': '319', 'Climber': '74'}","{'PCS Ranking': '765', 'UCI World Ranking': '1878'}"
282,BEWLEY Sam,Team BikeExchange,1987-07-22,New Zealand,1.9,81.0,https://www.procyclingstats.com/rider/sam-bewley,"{'One day races': '28', 'GC': '224', 'Time trial': '315', 'Sprint': '81', 'Climber': '2'}","{'PCS Ranking': '1697', 'UCI World Ranking': '3571'}"
283,GROVES Kaden,Team BikeExchange,1998-12-23,Australia,1.76,76.0,https://www.procyclingstats.com/rider/kaden-groves,"{'One day races': '85', 'GC': '67', 'Time trial': '231', 'Sprint': '645', 'Climber': '42'}","{'PCS Ranking': '514', 'UCI World Ranking': '1178'}"
284,PEÁK Barnabás,Team BikeExchange,1998-11-29,Hungary,1.83,74.0,https://www.procyclingstats.com/rider/barnabas-peak,"{'One day races': '95', 'GC': '42', 'Time trial': '165', 'Sprint': '131', 'Climber': '13'}","{'PCS Ranking': '701', 'UCI World Ranking': '901'}"
285,SCOTSON Callum,Team BikeExchange,1996-08-10,Australia,1.84,77.0,https://www.procyclingstats.com/rider/callum-scotson,"{'One day races': '15', 'GC': '82', 'Time trial': '40', 'Sprint': '49', 'Climber': '13'}","{'PCS Ranking': '905', 'UCI World Ranking': '1831'}"
286,FOUCHÉ James,Black Spoke Pro Cycling Academy,1998-03-28,New Zealand,1.84,69.0,https://www.procyclingstats.com/rider/james-fouche,"{'One day races': '37', 'GC': '17', 'Time trial': '21', 'Sprint': '74', 'Climber': '2'}","{'PCS Ranking': '1224', 'UCI World Ranking': '1722'}"
287,VALVERDE Alejandro,Movistar Team,1980-04-25,Spain,1.77,61.0,https://www.procyclingstats.com/rider/alejandro-valverde,"{'One day races': '12579', 'GC': '13007', 'Time trial': '4612', 'Sprint': '5298', 'Climber': '16783'}","{'PCS Ranking': '12', 'UCI World Ranking': '11', 'Specials | All Time Ranking': '7'}"
288,QUINTANA Nairo,Team Arkéa Samsic,1990-02-04,Colombia,1.67,59.0,https://www.procyclingstats.com/rider/nairo-quintana,"{'One day races': '741', 'GC': '8744', 'Time trial': '1258', 'Sprint': '227', 'Climber': '7457'}","{'PCS Ranking': '52', 'UCI World Ranking': '65', 'Specials | All Time Ranking': '75'}"
289,BENNATI Daniele,noteam,1980-09-24,Italy,1.83,71.0,https://www.procyclingstats.com/rider/daniele-bennati,"{'One day races': '3119', 'GC': '1088', 'Time trial': '1095', 'Sprint': '7838', 'Climber': '1478'}",{'Specials | All Time Ranking': '158'}
290,ROJAS José Joaquín,Movistar Team,1985-06-08,Spain,1.77,70.0,https://www.procyclingstats.com/rider/jose-joaquin-rojas,"{'One day races': '2875', 'GC': '1927', 'Time trial': '130', 'Sprint': '5930', 'Climber': '1865'}","{'PCS Ranking': '420', 'UCI World Ranking': '537', 'Specials | All Time Ranking': '656'}"
291,LANDA Mikel,Bahrain - Victorious,1989-12-13,Spain,1.73,60.0,https://www.procyclingstats.com/rider/mikel-landa,"{'One day races': '682', 'GC': '3934', 'Time trial': '199', 'Sprint': '232', 'Climber': '4608'}","{'PCS Ranking': '82', 'UCI World Ranking': '64', 'Specials | All Time Ranking': '434'}"
292,ROELANDTS Jürgen,noteam,1985-07-02,Belgium,1.84,78.0,https://www.procyclingstats.com/rider/jurgen-roelandts,"{'One day races': '3211', 'GC': '1255', 'Time trial': '569', 'Sprint': '3777', 'Climber': '476'}",{'Specials | All Time Ranking': '938'}
293,CARAPAZ Richard,INEOS Grenadiers,1993-05-29,Ecuador,1.7,62.0,https://www.procyclingstats.com/rider/richard-carapaz,"{'One day races': '747', 'GC': '2546', 'Time trial': '331', 'Sprint': '156', 'Climber': '3032'}","{'PCS Ranking': '14', 'UCI World Ranking': '10', 'Specials | All Time Ranking': '443'}"
294,BETANCUR Carlos,noteam,1989-10-13,Colombia,1.67,60.0,https://www.procyclingstats.com/rider/carlos-betancur,"{'One day races': '1208', 'GC': '1577', 'Time trial': '285', 'Sprint': '748', 'Climber': '1500'}",{'Specials | All Time Ranking': '870'}
295,AMADOR Andrey,INEOS Grenadiers,1986-08-29,Costa Rica,1.81,73.0,https://www.procyclingstats.com/rider/andrey-amador,"{'One day races': '643', 'GC': '1431', 'Time trial': '1181', 'Sprint': '562', 'Climber': '980'}","{'PCS Ranking': '512', 'UCI World Ranking': '1402'}"
296,OLIVEIRA Nelson,Movistar Team,1989-03-06,Portugal,1.8,67.0,https://www.procyclingstats.com/rider/nelson-oliveira,"{'One day races': '456', 'GC': '998', 'Time trial': '2869', 'Sprint': '154', 'Climber': '636'}","{'PCS Ranking': '137', 'UCI World Ranking': '181'}"
297,SOLER Marc,Movistar Team,1993-11-22,Spain,1.86,68.0,https://www.procyclingstats.com/rider/marc-soler,"{'One day races': '226', 'GC': '1670', 'Time trial': '640', 'Sprint': '100', 'Climber': '1752'}","{'PCS Ranking': '185', 'UCI World Ranking': '148', 'Specials | All Time Ranking': '1379'}"
298,BARBERO Carlos,Team Qhubeka NextHash,1991-04-29,Spain,1.78,66.0,https://www.procyclingstats.com/rider/carlos-barbero,"{'One day races': '1144', 'GC': '476', 'Time trial': '0', 'Sprint': '2260', 'Climber': '284'}","{'PCS Ranking': '520', 'UCI World Ranking': '922', 'Specials | All Time Ranking': '1314'}"
299,PRADES Eduard,DELKO,1987-08-09,Spain,1.78,63.0,https://www.procyclingstats.com/rider/eduard-prades,"{'One day races': '800', 'GC': '1061', 'Time trial': '30', 'Sprint': '1252', 'Climber': '796'}","{'PCS Ranking': '375', 'UCI World Ranking': '367', 'Specials | All Time Ranking': '1200'}"
300,ERVITI Imanol,Movistar Team,1983-11-15,Spain,1.89,82.0,https://www.procyclingstats.com/rider/imanol-erviti,"{'One day races': '706', 'GC': '909', 'Time trial': '437', 'Sprint': '301', 'Climber': '353'}","{'PCS Ranking': '316', 'UCI World Ranking': '673'}"
301,VALLS Rafael,Bahrain - Victorious,1987-06-25,Spain,1.79,64.0,https://www.procyclingstats.com/rider/rafael-valls,"{'One day races': '293', 'GC': '1177', 'Time trial': '78', 'Sprint': '287', 'Climber': '686'}",{'PCS Ranking': '1035'}
302,SEPÚLVEDA Eduardo,Androni Giocattoli - Sidermec,1991-06-13,Argentina,1.73,57.0,https://www.procyclingstats.com/rider/eduardo-sepulveda,"{'One day races': '351', 'GC': '1032', 'Time trial': '392', 'Sprint': '150', 'Climber': '562'}","{'PCS Ranking': '244', 'UCI World Ranking': '234'}"
303,FERNÁNDEZ Rubén,"Cofidis, Solutions Crédits",1991-03-01,Spain,1.77,60.0,https://www.procyclingstats.com/rider/ruben-fernandez,"{'One day races': '198', 'GC': '1122', 'Time trial': '116', 'Sprint': '186', 'Climber': '574'}","{'PCS Ranking': '291', 'UCI World Ranking': '439'}"
304,ANACONA Winner,Team Arkéa Samsic,1988-08-11,Colombia,1.79,65.0,https://www.procyclingstats.com/rider/winner-anacona,"{'One day races': '295', 'GC': '866', 'Time trial': '213', 'Sprint': '166', 'Climber': '828'}","{'PCS Ranking': '490', 'UCI World Ranking': '466'}"
305,VERONA Carlos,Movistar Team,1992-11-04,Spain,1.86,68.0,https://www.procyclingstats.com/rider/carlos-verona,"{'One day races': '403', 'GC': '779', 'Time trial': '18', 'Sprint': '60', 'Climber': '648'}","{'PCS Ranking': '397', 'UCI World Ranking': '609'}"
306,SÜTTERLIN Jasha,Team DSM,1992-11-04,Germany,1.84,78.0,https://www.procyclingstats.com/rider/jasha-sutterlin,"{'One day races': '288', 'GC': '558', 'Time trial': '984', 'Sprint': '250', 'Climber': '100'}","{'PCS Ranking': '1018', 'UCI World Ranking': '2017'}"
307,PEDRERO Antonio,Movistar Team,1991-10-23,Spain,1.77,60.0,https://www.procyclingstats.com/rider/antonio-pedrero,"{'One day races': '139', 'GC': '582', 'Time trial': '14', 'Sprint': '56', 'Climber': '542'}","{'PCS Ranking': '160', 'UCI World Ranking': '208'}"
308,MAS Lluís,Movistar Team,1989-10-15,Spain,1.81,69.0,https://www.procyclingstats.com/rider/lluis-guillermo-mas,"{'One day races': '141', 'GC': '356', 'Time trial': '251', 'Sprint': '330', 'Climber': '208'}","{'PCS Ranking': '611', 'UCI World Ranking': '727'}"
309,CARRETERO Héctor,Movistar Team,1995-05-28,Spain,1.83,67.0,https://www.procyclingstats.com/rider/hector-carretero,"{'One day races': '136', 'GC': '151', 'Time trial': '31', 'Sprint': '46', 'Climber': '94'}","{'PCS Ranking': '399', 'UCI World Ranking': '397'}"
310,ARCAS Jorge,Movistar Team,1992-07-08,Spain,1.87,68.0,https://www.procyclingstats.com/rider/jorge-arcas,"{'One day races': '107', 'GC': '148', 'Time trial': '49', 'Sprint': '30', 'Climber': '49'}","{'PCS Ranking': '643', 'UCI World Ranking': '1901'}"
311,ROSÓN Jaime,noteam,1993-01-13,Spain,1.79,62.0,https://www.procyclingstats.com/rider/jaime-roson,"{'One day races': '15', 'GC': '161', 'Time trial': '1', 'Sprint': '12', 'Climber': '140'}",{}
312,CASTRILLO Jaime,Equipo Kern Pharma,1996-03-13,Spain,1.86,65.0,https://www.procyclingstats.com/rider/jaime-castrillo,"{'One day races': '72', 'GC': '63', 'Time trial': '28', 'Sprint': '24', 'Climber': '6'}","{'PCS Ranking': '1934', 'UCI World Ranking': '2130'}"
313,CAVENDISH Mark,Deceuninck - Quick Step,1985-05-21,Great Britain,1.75,70.0,https://www.procyclingstats.com/rider/mark-cavendish,"{'One day races': '2752', 'GC': '1357', 'Time trial': '708', 'Sprint': '14486', 'Climber': '276'}","{'PCS Ranking': '22', 'UCI World Ranking': '33', 'Specials | All Time Ranking': '27'}"
314,BOASSON HAGEN Edvald,Team TotalEnergies,1987-05-17,Norway,1.85,75.0,https://www.procyclingstats.com/rider/edvald-boasson-hagen,"{'One day races': '4046', 'GC': '3550', 'Time trial': '2954', 'Sprint': '8068', 'Climber': '1614'}","{'PCS Ranking': '508', 'UCI World Ranking': '698', 'Specials | All Time Ranking': '86'}"
